ID,F_Name,F_Type,Street,Town,OwnerTyp,ConsType,ConsJuri,P_Ground,B_Field,S_Field,F_Field,M_Field,B_Court,T_Court,V_Court,Track,SkatPark,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,ActiveRec,Lon,Lat
2703,McKinnon / Alves Soccer Complex,LP,Monticello,Pawtucket,MUN,EAS,FED,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.36288452000,41.86877441000
2692,First Street Park,LP,1st,Cranston,MUN,CIN,MUN,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.42170715000,41.76620101000
2728,Ravenwoods Field,LP,Victory,Coventry,MUN,CIN,MUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.68898010000,41.68435668000
2720,Amvets Memorial Park,LP,Tiogue,Coventry,MUN,NON,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.55948638000,41.68292617000
2732,Aaron Ave. Right-of-Way,LP,Aaron,Bristol,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.29167938000,41.69844818000
2735,Mt. Hope Farm,LP,Metacom,Bristol,MUN,EAS,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.25493621000,41.66762542000
2740,Westerly Town Forest,CA,Havens,Westerly,MUN,EAS,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.81252288000,41.41342163000
2749,Blue Beach,LP,Quonset,North Kingstown,MUN,CIN,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-71.41568756000,41.58681106000
2759,Philips Farm,CA,Putnam,Glocester,MUN,EAS,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.60818481000,41.89082717000
2760,Scotstun Town Forest,CA,Chopmist Hill,Glocester,MUN,EAS,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.67073059000,41.89853286000
2762,Sprague Farm,CA,Pine Orchard,Glocester,MUN,EAS,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.70404815000,41.90882110000
2763,Mansion Park,LP,Sorrento,Providence,MUN,EAS,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.43536376000,41.80953216000
2764,Cragan Field,LP,Reilly,East Greenwich,MUN,CIN,MUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.46131896000,41.65581512000
2765,Lincoln Avenue Park,LP,Lincoln,Barrington,MUN,EAS,FED,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.32106781000,41.74538803000
2767,North Providence Little League West,AF,Woonasquatucket,North Providence,MUN,CIN,MUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.47998809000,41.84868621000
2769,Town Landing,LP,Taft,Pawtucket,MUN,CIN,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-71.38403320000,41.87176895000
