OBJECTID,KeyID,Name,Type,Street,Town,OwnerTyp,ConsType,ConsJuri,Steward,Playground,Ball Field,Soccer Field,Football Field,Multi-use Field,Basketball Court,Tennis,Volleyball Court,Track,Skate Park,Ice Hockey Rink,Street Hockey Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,Active Rec,RestRoom,Walking Path,Bike Path,StateGrant,LWCFGrant,Lon,Lat,Short_Description,Description,Additional_Names,GoRI_Incude_Suggestion,NoGoRI_Incude_Why,Dogs_Allowed,ADA,Stroller_Friendly,Picnic_Area,Acres_Miles,Contact_Info,Contact_Info_Seasonal,About_Links,Map_Links,GoRI_TestFlag,GoRI_subset
1000,1000,Knowlesway Extension,LP,Knowlesway,Narragansett,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Y,N,-71.49392488870,41.38921689900,,,,,,,,,,,,,,,,N
1001,1001,Arnolds Neck Park,LP,Hallworth,Warwick,MUN,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Y,N,-71.45180620900,41.69394836860,,,,,,,,,,,,,,,,N
1002,1002,Roger Williams Park Horticultural Center,LP,Floral,Providence,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Y,N,-71.40759351220,41.78223707770,,,,,,,,,,,,,,,,N
1003,1003,Meeting Street Field,AF,Haswell,Providence,MUN,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Y,N,-71.40447728180,41.80236083830,,,,,,,,,,,,,,,,N
1005,1005,Woonsocket Municipal Soccer Complex,AF,Davison,Woonsocket,MUN,,,,1,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,Y,N,-71.49347342940,41.99388411760,,,,,,,,,,,,,,,,N
1006,1006,Thomas Duffy Athletic Complex,AF,Newport,Pawtucket,MUN,,,,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Y,N,-71.35271311640,41.86777011580,,,,,,,,,,,,,,,,N
1007,1007,Homestead Playground,LP,Homestead,Warren,MUN,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Y,N,-71.26548190470,41.71998812890,,,,,,,,,,,,,,,,N
1008,1008,Civic Center Historic Park,LP,County,Barrington,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,-71.30757583860,41.73987804050,,,,,,,,,,,,,,,,N
1009,1009,Hedley Ave Tot Lot,LP,Hedley Ave,Johnston,MUN,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,-71.46801656540,41.83044778600,,,,,,,,,,,,,,,,N
1010,1010,Johnston Community Park,AF,Atwood,Johnston,MUN,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Y,N,-71.50270236590,41.83439307500,,,,,,,,,,,,,,,,N
