trail_id,trail_name,steward_id,trail_segment_id,Type,trail_rating,hike,bike,horse,ski,motor,accessible,Comments,length,geometry
19,NORTH SOUTH TRAIL,,1005,Gravel Road,,,,,,,,NORTH SOUTH TRAIL,1336.776541,
19,NORTH SOUTH TRAIL,,1006,Gravel Road,,,,,,,,NORTH SOUTH TRAIL,619.1030665,
19,NORTH SOUTH TRAIL,,1064,Single Track,,,,,,,,NORTH SOUTH TRAIL,3290.393666,
19,NORTH SOUTH TRAIL,,1065,Single Track,,,,,,,,NORTH SOUTH TRAIL,1184.888177,
20,"Pachaug Trail, yellow blaze",,100,Single Track,,,,,,,,"Pachaug Trail, yellow blaze, fair",6618.97945,
21,Paully Trail,,223,Single Track,,,,,,,,Paully Trail,1543.192919,
21,Paully Trail,,224,Single Track,,,,,,,,"Paully Trail , repair",4853.643015,
21,Paully Trail,,1067,Single Track,,,,,,,,Paully Trail,9214.807474,
22,Shelter Trail,,200,Single Track,,,,,,,,Shelter Trail,1486.636838,
22,Shelter Trail,,201,Single Track,,,,,,,,Shelter Trail,1869.342674,
22,Shelter Trail,,1068,Single Track,,,,,,,,Shelter Trail,1807.698934,
22,Shelter Trail,,1069,Single Track,,,,,,,,Shelter Trail,7670.827972,
23,Simmons Mill,,752,Double Track,,,,,,,,Simmons Mill,1094.961922,
23,Simmons Mill,,753,Double Track,,,,,,,,Simmons Mill,3883.508617,
23,Simmons Mill,,754,Double Track,,,,,,,,Simmons Mill,754.4688137,
23,Simmons Mill,,755,Double Track,,,,,,,,Simmons Mill,430.6365479,
23,Simmons Mill,,756,Double Track,,,,,,,,Simmons Mill,306.5374944,
23,Simmons Mill,,983,Double Track,,,,,,,,Simmons Mill,4850.31453,
23,Simmons Mill,,984,Double Track,,,,,,,,Simmons Mill,3383.949819,
23,Simmons Mill,,985,Double Track,,,,,,,,Simmons Mill,1759.301682,
23,Simmons Mill,,986,Double Track,,,,,,,,Simmons Mill,1662.541543,
24,Ski Trail,,426,Double Track,,,,,,,,Ski Trail,2540.502785,
24,Ski Trail,,429,Gravel Road,,,,,,,,Ski Trail,1020.975183,
24,Ski Trail,,438,Single Track,,,,,,,,Ski Trail,484.1139079,
24,Ski Trail,,439,Single Track,,,,,,,,Ski Trail,3881.471423,
24,Ski Trail,,449,Single Track,,,,,,,,Ski Trail,924.9194724,
24,Ski Trail,,974,Double Track,,,,,,,,Ski Trail,3022.451121,
24,Ski Trail,,1027,Gravel Road,,,,,,,,Ski Trail,5339.190158,
24,Ski Trail,,1028,Gravel Road,,,,,,,,Ski Trail,9705.030457,
24,Ski Trail,,1165,Single Track,,,,,,,,Ski Trail,3716.018341,
25,Snake Den,,454,Double Track,,,,,,,,Snake Den,4486.789532,
25,Snake Den,,455,Double Track,,,,,,,,Snake Den,1150.704626,
25,Snake Den,,456,Double Track,,,,,,,,Snake Den,419.4295986,
25,Snake Den,,457,Single Track,,,,,,,,Snake Den,1159.089679,
25,Snake Den,,458,Single Track,,,,,,,,Snake Den,3595.270336,
25,Snake Den,,459,Single Track,,,,,,,,Snake Den,1620.306086,
25,Snake Den,,460,Double Track,,,,,,,,Snake Den,5145.708668,
25,Snake Den,,461,Double Track,,,,,,,,Snake Den,1498.288622,
25,Snake Den,,462,Single Track,,,,,,,,Snake Den,990.0125028,
25,Snake Den,,463,Single Track,,,,,,,,Snake Den,2111.785454,
25,Snake Den,,464,Single Track,,,,,,,,Snake Den,1126.345226,
25,Snake Den,,465,Double Track,,,,,,,,Snake Den,5681.515778,
25,Snake Den,,466,Double Track,,,,,,,,Snake Den,4835.566876,
25,Snake Den,,1175,Single Track,,,,,,,,Snake Den,7472.917762,
25,Snake Den,,1176,Single Track,,,,,,,,Snake Den,1957.960532,
25,Snake Den,,1177,Single Track,,,,,,,,Snake Den,1694.948524,
25,Snake Den,,1178,Single Track,,,,,,,,Snake Den,5014.782613,
25,Snake Den,,1179,Single Track,,,,,,,,Snake Den,262.3979212,
25,Snake Den,,1180,Single Track,,,,,,,,Snake Den,292.7119145,
25,Snake Den,,1181,Single Track,,,,,,,,Snake Den,384.6086672,
26,Tower Trail,,183,Single Track,,,,,,,,Tower Trail,450.6641998,
27,Trail to Emerson,,245,Single Track,,,,,,,,Trail to Emerson,1618.242638,
27,Trail to Emerson,,750,Double Track,,,,,,,,Trail to Emerson,338.1013298,
27,Trail to Emerson,,751,Double Track,,,,,,,,Trail to Emerson,1042.55177,
27,Trail to Emerson,,1163,Single Track,,,,,,,,Trail to Emerson,4199.387209,
28,Tripp Trail,,188,Double Track,,,,,,,,Tripp Trail,3896.234059,
29,White blaze,,86,Single Track,,,,,,,,"White blaze, trail is poor",3732.2003,
29,White blaze,,87,Double Track,,,,,,,,white blaze,3036.967997,
30,Wildcat Trail,,180,Single Track,,,,,,,,Wildcat Trail,1811.566973,
30,Wildcat Trail,,869,Double Track,,,,,,,,Wildcat Trail,4261.129926,
,,,1,Single Track,,,,,,,,universal access,1486.331009,
,,,2,Single Track,,,,,,,,None,3615.34795,
,,,3,Gravel Road,,,,,,,,None,6081.071227,
,,,4,Double Track,,,,,,,,None,700.6320973,
,,,5,Double Track,,,,,,,,None,1594.788506,
,,,6,Double Track,,,,,,,,None,2572.836772,
,,,7,Double Track,,,,,,,,None,1576.897885,
,,,8,Double Track,,,,,,,,None,1860.09189,
,,,9,Double Track,,,,,,,,None,2237.909695,
,,,10,Double Track,,,,,,,,None,4406.174311,
,,,11,Double Track,,,,,,,,None,3244.088572,
,,,12,Single Track,,,,,,,,None,113.7776513,
,,,13,Double Track,,,,,,,,None,2232.892266,
